experiment,model,epochs,precision,recall,mAP50,mAP50-95,parameter_count
exp1,yolov8n,20,0.6624690881997977,0.6291445299918255,0.6580321112489544,0.4193200129353887,3007208
exp2,yolov8n,20,0.6414554602293132,0.649349327237341,0.6633834502561244,0.4348265418254741,3007208
exp3,yolov8n,50,0.6568243374956535,0.6687339956838583,0.6907175602276575,0.4547519554160859,3007208
exp4,yolov8n,20,0.6101671341062759,0.6412292512003033,0.6430510248378868,0.4139463973520539,3007208
exp5,yolov8s,20,0.6506066394734252,0.6750321336627145,0.684143294034236,0.4529805819384648,11128680
